checkpoint,method,object,object_code,seed,epoch,success_count,trajectory_count,success_rate,mean_max_lift_m,mean_final_lift_m,checkpoint_evaluation_normalized_lift_score
best,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,best,10,20,0.5,0.22269673645496368,0.20305879414081573,0.4930150508880615
best,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,1,best,0,20,0.0,0.0034000365994870663,-0.00037423669709824026,0.011333456262946129
best,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,2,best,9,20,0.45,0.16650603711605072,0.14454394578933716,0.4350516200065613
best,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,best,3,20,0.15,0.07887261360883713,0.06610406935214996,0.1879369169473648
best,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,1,best,2,20,0.1,0.02440146543085575,0.008965340442955494,0.08133821934461594
best,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,2,best,4,20,0.2,0.08597184717655182,0.0794387236237526,0.20934811234474182
best,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,best,4,20,0.2,0.11484001576900482,0.031133655458688736,0.2012362778186798
best,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,1,best,2,20,0.1,0.05786861106753349,0.03525913506746292,0.10224087536334991
best,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,2,best,5,20,0.25,0.1350373923778534,0.02663809433579445,0.2503949999809265
best,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,best,0,20,0.0,0.006326782517135143,-0.00041438936023041606,0.021089274436235428
best,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,1,best,10,20,0.5,0.1883288323879242,0.17409056425094604,0.48355865478515625
best,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,2,best,11,20,0.55,0.21554914116859436,0.1449519544839859,0.5389801859855652
best,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,best,7,20,0.35,0.20671983063220978,0.20067653059959412,0.3673641085624695
best,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,1,best,6,20,0.3,0.17022934556007385,0.1657763421535492,0.3021829128265381
best,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,2,best,6,20,0.3,0.13180802762508392,0.09490293264389038,0.33098727464675903
best,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,best,1,20,0.05,0.016039099544286728,-0.023964261636137962,0.05067012831568718
best,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,1,best,1,20,0.05,0.024032417684793472,-0.010088438168168068,0.0519554428756237
best,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,2,best,0,20,0.0,0.0004788905498571694,-0.020705511793494225,0.0015963015612214804
