checkpoint,method,object,object_code,seed,epoch,success_count,trajectory_count,success_rate,mean_max_lift_m,mean_final_lift_m,checkpoint_evaluation_normalized_lift_score
epoch_001,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,1,0,20,0.0,3.9637088775634766e-06,-0.0004910677671432495,1.3212362318881787e-05
epoch_005,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,5,0,20,0.0,0.005415892694145441,0.0031393617391586304,0.018052976578474045
epoch_010,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,10,0,20,0.0,0.0065133096650242805,-0.02979731187224388,0.02171103097498417
epoch_025,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,25,0,20,0.0,0.011975494213402271,-0.06047337129712105,0.039918310940265656
epoch_050,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,50,1,20,0.05,0.032344572246074677,0.023473510518670082,0.07841259241104126
epoch_100,baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,100,7,20,0.35,0.18064484000205994,0.1764303296804428,0.3635508716106415
epoch_001,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,1,0,20,0.0,0.0005171209340915084,-0.0009071260574273765,0.0017237362917512655
epoch_005,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,5,0,20,0.0,0.0005008816951885819,-0.0008725762600079179,0.0016696054954081774
epoch_010,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,10,0,20,0.0,0.0026170252822339535,-0.0007456749444827437,0.008723417297005653
epoch_025,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,25,1,20,0.05,0.015741664916276932,0.0067867012694478035,0.05247221142053604
epoch_050,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,50,0,20,0.0,0.0008706599473953247,-0.0008994221570901573,0.0029021999798715115
epoch_100,baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,100,0,20,0.0,0.002522635506466031,-0.0038061081431806087,0.008408783935010433
epoch_001,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,1,0,20,0.0,0.0003950744867324829,-0.01615440472960472,0.0013169149169698358
epoch_005,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,5,0,20,0.0,0.006663575768470764,-0.0044755516573786736,0.022211920469999313
epoch_010,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,10,0,20,0.0,0.0009469389915466309,-0.03531556949019432,0.003156463149935007
epoch_025,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,25,0,20,0.0,0.003922307398170233,-0.015278163366019726,0.013074357993900776
epoch_050,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,50,2,20,0.1,0.05282992124557495,0.02459878660738468,0.10423628985881805
epoch_100,baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,100,1,20,0.05,0.036166995763778687,0.003133037593215704,0.05416097119450569
epoch_001,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,1,0,20,0.0,3.9637088775634766e-06,-0.0004910677671432495,1.3212362318881787e-05
epoch_005,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,5,0,20,0.0,0.005988195538520813,0.0028316467069089413,0.01996065117418766
epoch_010,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,10,0,20,0.0,0.0019963891245424747,-0.0004389405366964638,0.0066546304151415825
epoch_025,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,25,0,20,0.0,0.00800574105232954,-0.0004426717641763389,0.02668580412864685
epoch_050,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,50,0,20,0.0,0.0035506426356732845,-0.0004762500466313213,0.011835475452244282
epoch_100,wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,100,7,20,0.35,0.20474036037921906,0.19320400059223175,0.38837769627571106
epoch_001,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,1,0,20,0.0,0.0005132764345034957,-0.0009232908487319946,0.0017109215259552002
epoch_005,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,5,0,20,0.0,0.0005142212030477822,-0.0009127318626269698,0.0017140706768259406
epoch_010,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,10,0,20,0.0,0.016972381621599197,0.010487213730812073,0.05657460168004036
epoch_025,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,25,2,20,0.1,0.03335341066122055,0.031803909689188004,0.1020909771323204
epoch_050,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,50,0,20,0.0,0.0006524324417114258,-0.002354076597839594,0.0021747746504843235
epoch_100,wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,100,0,20,0.0,0.0021050781942903996,-0.0023370743729174137,0.007016926072537899
epoch_001,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,1,0,20,0.0,0.00038391948328353465,-0.008991229347884655,0.0012797315139323473
epoch_005,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,5,0,20,0.0,0.010628705844283104,-0.0215892493724823,0.03542901948094368
epoch_010,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,10,0,20,0.0,0.0008786678081378341,-0.028734007850289345,0.0029288926161825657
epoch_025,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,25,0,20,0.0,0.003568315412849188,-0.01797301508486271,0.011894384399056435
epoch_050,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,50,1,20,0.05,0.02795291505753994,-0.0182792991399765,0.05349770933389664
epoch_100,wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,100,1,20,0.05,0.02748783491551876,0.00419352063909173,0.05129478499293327
