method,object,object_code,seed,wrist_weight,split_seed,split_hash,train_sequences,validation_sequences,epochs_completed,best_epoch,best_validation_loss,device_name,torch,cuda_runtime
baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,2.0,0,f67654f278a03c0d5b8db1dc6341b755f9e3f6c27e35129f6d8a19e45c8b1f63,16,4,190,160,0.05522491931915283,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,1,2.0,0,f67654f278a03c0d5b8db1dc6341b755f9e3f6c27e35129f6d8a19e45c8b1f63,16,4,148,118,0.05454460552760533,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,jar,core-jar-8ec888ab36f1c5635afa616678601602,2,2.0,0,f67654f278a03c0d5b8db1dc6341b755f9e3f6c27e35129f6d8a19e45c8b1f63,16,4,200,182,0.05077409318515232,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,2.0,0,3af790670782415e0a3d1fdfdd086991f45b825155f3a5932da3644a4bdef6b7,10,3,200,197,0.45846617221832275,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,1,2.0,0,3af790670782415e0a3d1fdfdd086991f45b825155f3a5932da3644a4bdef6b7,10,3,200,171,0.45289146900177,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,2,2.0,0,3af790670782415e0a3d1fdfdd086991f45b825155f3a5932da3644a4bdef6b7,10,3,200,182,0.44924992322921753,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,2.0,0,7eeb7be102fa442e7d2cedaea52073cb2d14f2610447a9528cf448933b0e785d,16,4,143,113,0.038303599426788945,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,1,2.0,0,7eeb7be102fa442e7d2cedaea52073cb2d14f2610447a9528cf448933b0e785d,16,4,135,105,0.03748571750308786,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
baseline,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,2,2.0,0,7eeb7be102fa442e7d2cedaea52073cb2d14f2610447a9528cf448933b0e785d,16,4,133,103,0.03710889189637133,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,0,4.0,0,f67654f278a03c0d5b8db1dc6341b755f9e3f6c27e35129f6d8a19e45c8b1f63,16,4,100,67,0.059225855554853164,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,1,4.0,0,f67654f278a03c0d5b8db1dc6341b755f9e3f6c27e35129f6d8a19e45c8b1f63,16,4,146,116,0.057271979536328996,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,jar,core-jar-8ec888ab36f1c5635afa616678601602,2,4.0,0,f67654f278a03c0d5b8db1dc6341b755f9e3f6c27e35129f6d8a19e45c8b1f63,16,4,151,121,0.05333610602787563,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,0,4.0,0,3af790670782415e0a3d1fdfdd086991f45b825155f3a5932da3644a4bdef6b7,10,3,200,187,0.5023276805877686,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,1,4.0,0,3af790670782415e0a3d1fdfdd086991f45b825155f3a5932da3644a4bdef6b7,10,3,200,170,0.5057388544082642,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,cellphone,sem-CellPhone-4e2f684b3cebdbc344f470fdd42caac6,2,4.0,0,3af790670782415e0a3d1fdfdd086991f45b825155f3a5932da3644a4bdef6b7,10,3,200,189,0.4958742558956146,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,0,4.0,0,7eeb7be102fa442e7d2cedaea52073cb2d14f2610447a9528cf448933b0e785d,16,4,190,160,0.04185194985142776,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,1,4.0,0,7eeb7be102fa442e7d2cedaea52073cb2d14f2610447a9528cf448933b0e785d,16,4,135,105,0.04073560007714799,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
wrist4,usb_stick,sem-USBStick-e2e75212fefa0ecf30e9a79a761377a4,2,4.0,0,7eeb7be102fa442e7d2cedaea52073cb2d14f2610447a9528cf448933b0e785d,16,4,133,103,0.04032205030588167,NVIDIA GeForce RTX 5070 Ti,2.7.1+cu128,12.8
